# Meteor showers included in a NASA meteoroid Environment Office meteor shower forecast for near-Earth space||||||||||||||||||||
#    |    |                                 |  [  | -   | -   |Radiant| - | -    | -   | -  |  ]  |  [   |-      |Activity|-| ]   |    |     |      |
# IAU|IAU |Shower                           |Sol  |Sol  |Sol  |RA   |dRA  |Dec   |dDec |Vg  |dVg  |Year  |Sol    |ZHR |Bp   |Bm   |r   |Ref. |Assoc.|Bin
# No |Code|Name                             |beg  |max  |end  |     |     |      |     |    |     |      |peak   |peak|rise |down |    |Ht.  |radius|params
   19|MON |December Monocerotids            |250  |261  |266  |102.3| 0.65|  7.8 |-0.11|41.4|-0.16|annual|257    |  3 |0.25 |0    |3.0 | 96.0|   3.0|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 48}}
   22|LMI |Leonis Minorids                  |199  |208.7|221  |159.7| 1.17| 36.9 |-0.32|61.9|-0.02|annual|206.14 |  2 |0.093|0.079|2.0 |105.6|   3.0|{'all_years': {'min_tap':  250, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 48}}
   31|ETA |eta Aquariids                    | 30  | 46  | 66  |338.1| 0.71| -0.8 | 0.34|65.7| 0.03|annual| 46    | 60 |0.125|0.079|2.1 |106.7|   3.0|{'all_years': {'min_tap':   30, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 24}, 'yearly': {'min_tap':  15, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 24}}
   69|SSG |Southern mu Sagittariids         | 71  | 86  | 96  |273.1| 0.78|-29.3 |-0.05|25.8|-0.16|annual| 88.5  |  2 |0.037|0    |2.9 | 92.3|   3.0|{'all_years': {'min_tap':   50, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap':  20, 'min_meteors':  30, 'min_bin_duration':  12, 'max_bin_duration': 48}}
  171|ARI |Daytime Arietids                 | 62  | 78.5| 99  | 45.1| 0.96| 24.6 | 0.14|41.1| 0.03|annual| 79.72 | 60 |0.065|0.055|1.9 | 95.9|   3.0|{'all_years': {'min_tap':   10, 'min_meteors':  10, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap':   5, 'min_meteors':  10, 'min_bin_duration':  12, 'max_bin_duration': 48}}
  183|PAU |Piscis Austrinids                |124  |136  |142  |353.9| 0.72|-20.7 | 0.28|43.8| 0.06|annual|123.7  |  2 |0.4  |0    |3.2 | 92.0|   3.0|{'all_years': {'min_tap':   50, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap':  10, 'min_meteors':  25, 'min_bin_duration':  12, 'max_bin_duration': 48}}
  206|AUR |Aurigids                         |154.2|158.6|167.7| 91.4| 1.19| 39.4 | 0.06|65.6| 0.07|annual|158.6  |  9 |0.19 |0    |2.6 |104.1|   3.0|{'all_years': {'min_tap':   30, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap':  20, 'min_meteors':  30, 'min_bin_duration':  12, 'max_bin_duration': 48}}
  208|SPE |September epsilon Perseids       |161.9|166.8|178.4| 47.3| 1.15| 39.5 | 0.09|63.8| 0.00|annual|166.7  |  5 |0.193|0    |2.0 |103.1|   3.0|{'all_years': {'min_tap':  300, 'min_meteors': 300, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}}
  221|DSX |Daytime Sextantids               |174  |188.4|197  |156.3| 0.95| -2.3 |-0.53|32.3| 0.14|annual|189.44 |  5 |0.063|0.167|2.2 | 94.7|   4.0|{'all_years': {'min_tap':   10, 'min_meteors':  10, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap':   5, 'min_meteors':  10, 'min_bin_duration':  12, 'max_bin_duration': 48}}
# Additional showers not in the NASA list
