87.5,-35.76,89.75,-42.8
87.5,-35.76,84.75,-34.06
84.75,-34.06,82.75,-35.46
197.25,17.51,197.75,27.86
197.75,27.86,186.5,28.26
280.75,-38.31,284.0,-37.33
280.75,-38.31,278.0,-39.7
284.0,-37.33,284.5,-37.1
284.5,-37.1,286.5,-37.05
286.5,-37.05,287.25,-37.9
287.25,-37.9,287.5,-39.33
287.5,-39.33,287.0,-40.48
287.0,-40.48,285.75,-42.08
285.75,-42.08,284.0,-42.7
233.0,31.35,231.75,29.1
231.75,29.1,233.5,26.7
233.5,26.7,235.5,26.28
235.5,26.28,237.25,26.06
237.25,26.06,239.25,26.86
239.25,26.86,240.25,29.85
164.75,-18.28,167.75,-22.81
167.75,-22.81,171.0,-17.68
176.0,-18.35,171.0,-17.68
171.0,-17.68,169.75,-14.76
169.75,-14.76,164.75,-18.28
169.75,-14.76,171.0,-10.85
171.0,-10.85,174.0,-9.8
174.0,-9.8,179.0,-17.15
179.0,-17.15,176.0,-18.35
187.75,-57.1,186.5,-63.08
191.75,-59.68,183.75,-58.73
188.0,-16.18,187.25,-16.5
188.5,-23.38,187.25,-16.5
187.25,-16.5,183.75,-17.53
183.75,-17.53,182.5,-22.61
182.5,-22.61,182.0,-24.71
182.5,-22.61,188.5,-23.38
188.25,41.35,194.0,38.31
289.25,53.36,292.25,51.71
292.25,51.71,296.0,45.11
296.0,45.11,305.5,40.25
305.5,40.25,310.25,45.26
305.5,40.25,311.5,33.96
305.5,40.25,299.0,35.08
311.5,33.96,318.0,30.21
318.0,30.21,326.0,28.73
299.0,35.08,292.5,27.95
308.25,11.3,309.25,14.58
310.75,15.06,309.25,14.58
309.25,14.58,309.75,15.9
309.75,15.9,311.5,16.11
311.5,16.11,310.75,15.06
86.0,-65.73,88.5,-63.08
88.5,-63.08,83.25,-62.48
83.25,-62.48,86.0,-65.73
83.25,-62.48,68.25,-55.03
68.25,-55.03,64.0,-51.48
268.25,56.86,269.0,51.48
268.25,56.86,288.0,67.65
269.0,51.48,262.5,52.3
262.5,52.3,263.0,55.16
263.0,55.16,268.25,56.86
288.0,67.65,297.0,70.26
297.0,70.26,275.25,72.73
275.25,72.73,257.0,65.7
257.0,65.7,245.75,61.5
245.75,61.5,240.25,58.55
240.25,58.55,231.0,58.95
231.0,58.95,211.0,64.36
211.0,64.36,188.25,69.78
188.25,69.78,172.75,69.31
317.5,10.11,318.5,10.0
318.5,10.0,320.5,6.8
320.5,6.8,318.75,5.23
318.75,5.23,317.5,10.11
24.25,-57.23,28.75,-51.6
28.75,-51.6,34.0,-51.5
34.0,-51.5,36.5,-47.7
36.5,-47.7,39.75,-42.88
39.75,-42.88,40.0,-39.85
40.0,-39.85,44.5,-40.3
44.5,-40.3,49.75,-43.06
49.75,-43.06,57.0,-37.61
57.0,-37.61,57.25,-36.2
57.25,-36.2,64.25,-33.78
64.25,-33.78,66.0,-34.01
66.0,-34.01,68.75,-30.55
68.75,-30.55,56.5,-23.23
56.5,-23.23,53.25,-21.61
53.25,-21.61,49.75,-21.75
49.75,-21.75,45.5,-23.61
45.5,-23.61,41.25,-18.56
41.25,-18.56,44.0,-8.88
44.0,-8.88,48.75,-8.81
48.75,-8.81,53.0,-9.45
53.0,-9.45,55.75,-9.75
55.75,-9.75,69.0,-3.35
69.0,-3.35,71.25,-3.25
71.25,-3.25,73.0,-5.45
73.0,-5.45,76.75,-5.08
76.75,-5.08,77.25,-8.75
77.25,-8.75,69.5,-14.3
42.25,-32.4,48.0,-28.98
99.25,16.38,106.0,20.56
106.0,20.56,110.0,21.96
110.0,21.96,109.5,16.53
110.0,21.96,113.75,26.88
109.5,16.53,101.25,12.88
113.75,26.88,116.0,24.38
113.75,26.88,116.25,28.01
113.75,26.88,111.25,27.78
111.25,27.78,107.75,30.23
107.75,30.23,113.5,31.88
107.75,30.23,103.0,33.95
107.75,30.23,100.75,25.11
100.75,25.11,97.0,20.2
100.75,25.11,95.5,22.5
95.5,22.5,93.5,22.5
93.5,22.5,91.0,23.25
346.5,-43.51,337.25,-43.48
337.25,-43.48,332.0,-46.95
332.0,-46.95,340.5,-46.88
332.0,-46.95,331.5,-39.53
340.5,-46.88,347.5,-45.23
340.5,-46.88,345.0,-52.75
340.5,-46.88,342.0,-51.31
347.5,-45.23,346.5,-43.51
331.5,-39.53,328.25,-37.35
264.75,46.0,269.0,37.25
269.0,37.25,260.75,37.13
260.75,37.13,259.25,37.28
259.25,37.28,258.75,36.8
255.0,30.91,258.75,36.8
258.75,36.8,250.5,38.91
250.5,38.91,248.5,42.43
250.5,38.91,250.25,31.6
248.5,42.43,244.75,46.3
244.75,46.3,238.0,42.45
250.25,31.6,247.5,21.48
250.25,31.6,255.0,30.91
247.5,21.48,245.25,19.15
255.0,30.91,262.5,26.1
262.5,26.1,258.75,24.83
266.5,27.71,269.25,29.23
269.25,29.23,271.75,28.75
269.25,29.23,266.5,27.71
63.5,-42.28,40.0,-54.53
40.0,-54.53,45.75,-59.73
130.75,3.38,129.5,3.33
129.5,3.33,129.25,5.7
129.25,5.7,131.5,6.41
131.5,6.41,132.0,5.83
132.0,5.83,130.75,3.38
132.0,5.83,133.75,5.93
133.75,5.93,138.5,2.3
138.5,2.3,142.75,-1.18
142.75,-1.18,142.25,-2.76
142.25,-2.76,141.75,-8.65
141.75,-8.65,147.75,-14.83
147.75,-14.83,152.5,-12.35
152.5,-12.35,156.5,-16.83
156.5,-16.83,162.25,-16.18
162.25,-16.18,173.25,-31.85
173.25,-31.85,178.0,-33.9
178.0,-33.9,197.25,-23.11
197.25,-23.11,199.5,-23.16
6.25,-77.25,56.75,-74.23
56.75,-74.23,39.75,-68.26
39.75,-68.26,35.25,-68.65
35.25,-68.65,29.5,-61.56
319.75,-53.43,309.25,-47.28
309.25,-47.28,313.5,-58.45
313.5,-58.45,319.75,-53.43
