# IAU No|IAU Code|Shower Name                |Sol begin|Sol max|Sol end|RA   |dRA |Dec  | dDec|Vg  |dVg  |Reference                                
     206|AUR     |Aurigids                   |154.2    |158    |167.7  |90.9 |1.24|38.6 |-0.01|65.6| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     208|SPE     |September epsilon Perseids |161.9    |168    |178.4  |48.6 |1.17|39.6 | 0.26|64.8| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     221|DSX     |Daytime Sextantids         |174      |186    |197    |156.6|0.56|-1   |-0.54|32.2| 0.00|Brown et al., 2010                       
     246|AMO     |alpha Monocerotids         |232      |239    |243.1  |116.8|0.97|0.9  |-0.09|63  | 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     250|NOO     |November Orionids          |225      |247    |256    |90.6 |1.03|15.2 |-0.01|42.5| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     252|ALY     |alpha Lyncids              |         |272    |       |140.4|1.13|39.8 |-0.31|49.5| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     257|ORS     |Southern chi Orionids      |         |243    |       |73   |1.04|17.8 | 0.11|27.9| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     319|JLE     |January Leonids            |279      |283    |287    |147.7|1.01|24.1 |-0.34|51.4| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     323|XCB     |xi Coronae Borealids       |287      |296    |304    |250.9|0.7 |29.7 |-0.13|45.1| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     331|AHY     |alpha Hydrids              |267      |284    |300    |126.9|0.87|-8.7 |-0.24|43.3| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     333|OCU     |October Ursae Majorids     |201      |202    |203    |145  |1.39|64.8 |-0.33|55.6| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     334|DAD     |December alpha Draconids   |         |256    |       |210.8|0.58|58.6 |-0.34|40.8| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     335|XVI     |December chi Virginids     |         |267    |       |194.3|0.94|-12  |-0.39|69.1| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     336|DKD     |December kappa Draconids   |         |252    |       |187.2|0.77|70.2 |-0.39|43.8| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     337|NUE     |nu Eridanids               |         |163    |       | 61.5|0.95|4.3  | 0.19|67.1| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     338|OER     |omicron Eridanids          |213      |232    |243    |59.9 |0.92|0.1  | 0.2 |28.5| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     339|PSU     |psi Ursae Majorids         |         |253    |       |169.8|0.98|42.4 |-0.39|61.7| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     341|XUM     |January xi Ursae Majorids  |         |298    |       |168.7|0.97|33   |-0.39|40.9| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     343|HVI     |h Virginids                |         | 38    |       |204.8|0.95|-11.5|-0.36|17.2| 0.00|Jenniskens et al., 2016, Icarus, 266, 355
     346|XHE     |x Herculids                |         |350    |       |253  |0.48|49.2 |-0.1 |35.2| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     362|JMC     |June mu Cassiopeiids       | 49      | 74    | 95    |17.5 |0.91|53.9 | 0.28|43.6| 0.00|Brown et al., 2010                       
     372|PPS     |phi Piscids                |104      |106    |107    |20.1 |1.56|24.1 | 0.36|62.9| 0.00|Brown et al., 2010                       
     388|CTA     |chi Taurids                |194      |220    |227    |63.2 |0.96|24.7 | 0.19|42.1| 0.00|Brown et al., 2010                       
     390|THA     |November theta Aurigids    |233      |237    |239    |89   |1.49|34.7 | 0.14|33.8| 0.00|Brown et al., 2010                       
     404|GUM     |gamma Ursae Minorids       |294      |299    |304    |231.8|0.7 |66.8 |-0.57|31.8| 0.00|Brown et al., 2010                       
     411|CAN     |c Andromedids              |         |107    |       |29.1 |1.13|47.3 | 0.35|57.5| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     427|FED     |February eta Draconids     |         |315    |       |239.6|0.26|62.4 |-0.2 |35.1| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
     428|DSV     |December sigma Virginids   |         |262    |       |200.8|0.9 |5.8  |-0.37|66.2| 0.00|Jenniskens et al., 2016, Icarus, 266, 355
     431|JIP     |June iota Pegasids         |         | 94    |       |332.1|0.81|29.1 | 0.35|58.5| 0.00|Jenniskens et al., 2016, Icarus, 266, 355
     444|ZCS     |zeta Cassiopeiids          |         |113.2  |       |6.9  |1.4 |50.7 | 0.5 |57.3| 0.00|Segon et al., 2012                       
     445|KUM     |kappa Ursae Majorids       |         |225    |       |147.2|1.13|45   |-0.34|65.7| 0.00|Jenniskens et al., 2016, Icarus, 266, 384
     446|DPC     |December phi Cassiopeiids  |         |252    |       |19.5 |1.14|57.7 | 0.37|16.5| 0.00|Jenniskens et al., 2016, Icarus, 266, 384
     451|CAM     |Camelopardalids            |         |62.8   |       |120  |0   |78.2 | 0   |14.9| 0.00|?                                        
     506|FEV     |February epsilon Virginids |         |314    |       |200.4|0.89|11   |-0.37|62.9| 0.00|Jenniskens et al., 2016, Icarus, 266, 384
     510|JRC     |June rho Cygnids           |         | 84    |       |321.8|0.4 |43.9 | 0.6 |50.2| 0.00|Segon et al., 2013                       
     512|RPU     |rho Puppids                |         |223    |       |120  |0.8 |-24  |-0.2 |57.5| 0.00|Segon et al., 2013                       
     524|LUM     |lambda Ursae Majorids      |         |215    |       |158.2|0   |49.4 | 0   |60.3| 0.00|Andreic et al., 2013                     
     526|SLD     |Southern lambda Draconids  |         |221.6  |       |163  |0   |68.1 | 0   |48.7| 0.00|Andreic et al., 2013                     
     529|EHY     |eta Hydrids                |         |256.9  |       |132.9|0.79|2.3  |-0.16|62.5| 0.00|Segon et al., 2013                       
     530|ECV     |eta Corvids                |         |302    |       |192  |0.95|-18.1|-0.39|68.1| 0.00|Jenniskens et al., 2016, Icarus, 266, 355
     533|JXA     |July xi Arietids           |         |119    |       |40.1 |0.66|10.6 | 0.25|69.4| 0.00|Segon et al., 2014                       
     549|FAN     |49 Andromedids             |         |114    |       |20.9 |0.9 |46.7 | 0.32|60.1| 0.00|Andreic et al., 2014                     
     569|OHY     |omicron Hydrids            |         |309    |       |176.3|0.8 |-34.1|-0.38|59.1| 0.00|Andreic et al., 2014                     
     680|JEA     |June epsilon Arietids      |80.0     | 83.8  | 87.0  |47.6 |0   |27.6 | 0   |39.1| 0.00|Jenniskens et al., 2018 sub. to PSS      
    1130|ARD     |Arids                      |184      |193    |194    |262.7|0   |-57.8| 0   |10.8| 0.00|Jenniskens and Cooper, CBET              
